                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                 1.5729,                   0.99,                 1.5296,                0.59462,                0.64684,                0.58612,                0.23932,                 2.1879,                 1.4843,                 2.1344,              0.0010329,              0.0010329,              0.0010329
                     44,                 1.5629,                0.96702,                  1.512,                0.61867,                0.64809,                0.61982,                0.23801,                 2.1819,                 1.4614,                 2.1493,              0.0010234,              0.0010234,              0.0010234
                     45,                 1.5352,                0.97108,                 1.5185,                0.63786,                0.64495,                0.61138,                0.24075,                 2.2022,                 1.4794,                 2.1779,               0.001014,               0.001014,               0.001014
                     46,                 1.5339,                0.93136,                 1.4899,                0.62158,                  0.613,                 0.6076,                0.24127,                 2.2472,                 1.5066,                 2.2207,              0.0010046,              0.0010046,              0.0010046
                     47,                 1.5407,                0.93281,                 1.5097,                 0.6446,                0.52777,                0.58417,                0.24143,                 2.2161,                 1.5251,                 2.1644,             0.00099516,             0.00099516,             0.00099516
                     48,                 1.5579,                0.93165,                 1.4864,                 0.6559,                0.59922,                0.58629,                0.22793,                 2.2526,                 1.4242,                 2.2063,             0.00098572,             0.00098572,             0.00098572
                     49,                 1.5214,                0.91516,                 1.4897,                0.69082,                0.59416,                0.61098,                0.25476,                 2.1898,                 1.4719,                  2.142,             0.00097629,             0.00097629,             0.00097629
                     50,                 1.4954,                0.92537,                 1.4684,                0.66605,                0.60912,                0.60081,                0.23836,                 2.2176,                 1.4173,                 2.1859,             0.00096686,             0.00096686,             0.00096686
                     51,                  1.492,                 0.9232,                 1.4741,                0.74631,                0.59755,                0.65565,                0.27536,                 2.1665,                 1.4511,                 2.1652,             0.00095743,             0.00095743,             0.00095743
                     52,                 1.4904,                 0.9116,                 1.4856,                0.68911,                0.65105,                 0.6356,                0.25021,                 2.2134,                 1.4345,                  2.182,               0.000948,               0.000948,               0.000948
                     53,                 1.4952,                 0.8871,                  1.478,                0.62631,                0.61114,                0.60908,                0.24167,                 2.2795,                 1.5287,                  2.217,             0.00093857,             0.00093857,             0.00093857
                     54,                 1.4906,                0.90006,                 1.4761,                0.63564,                0.61944,                0.60386,                0.25416,                 2.2028,                 1.4863,                 2.1689,             0.00092914,             0.00092914,             0.00092914
                     55,                 1.4842,                0.89412,                 1.4644,                0.67348,                0.62045,                0.64319,                0.25982,                 2.2165,                  1.413,                 2.2049,              0.0009197,              0.0009197,              0.0009197
                     56,                 1.4574,                0.89023,                  1.451,                0.72103,                0.55704,                0.63666,                0.26235,                 2.1964,                 1.4463,                 2.1542,             0.00091027,             0.00091027,             0.00091027
                     57,                 1.4575,                 0.8542,                 1.4589,                0.66402,                0.59613,                0.60771,                 0.2397,                 2.1971,                 1.4207,                 2.1709,             0.00090084,             0.00090084,             0.00090084
                     58,                 1.4388,                0.86802,                 1.4443,                0.52664,                 0.6258,                0.56421,                0.22811,                 2.2516,                 1.5023,                 2.2042,             0.00089141,             0.00089141,             0.00089141
                     59,                 1.4362,                0.83985,                 1.4364,                0.70551,                0.55525,                0.61961,                0.23832,                 2.2006,                 1.4491,                 2.1804,             0.00088198,             0.00088198,             0.00088198
                     60,                 1.4173,                 0.8222,                 1.4211,                0.61171,                 0.6345,                0.62578,                0.25552,                 2.2235,                 1.5354,                 2.1968,             0.00087255,             0.00087255,             0.00087255
                     61,                 1.4017,                0.81106,                  1.405,                0.66643,                0.60479,                0.61284,                0.24726,                 2.2047,                  1.467,                 2.2064,             0.00086312,             0.00086312,             0.00086312
                     62,                 1.3633,                0.80264,                 1.3999,                0.70247,                0.58237,                0.63471,                 0.2703,                  2.185,                 1.5986,                 2.1558,             0.00085368,             0.00085368,             0.00085368
                     63,                 1.4093,                0.81241,                 1.4252,                0.66578,                0.55256,                0.61999,                0.24506,                 2.2309,                 1.5867,                 2.2264,             0.00084425,             0.00084425,             0.00084425
                     64,                 1.3797,                0.79377,                 1.4044,                0.70086,                0.61263,                0.64053,                0.26005,                 2.2383,                 1.4102,                 2.1965,             0.00083482,             0.00083482,             0.00083482
                     65,                 1.3603,                0.80975,                 1.3915,                0.74496,                0.61022,                0.65667,                0.26169,                 2.2287,                 1.4591,                 2.1904,             0.00082539,             0.00082539,             0.00082539
                     66,                 1.4012,                0.78185,                 1.3954,                0.69346,                 0.6154,                0.65005,                0.24911,                 2.2347,                 1.4106,                 2.2164,             0.00081596,             0.00081596,             0.00081596
                     67,                 1.3992,                0.81139,                 1.4072,                0.69212,                0.63352,                 0.6378,                0.26341,                 2.1944,                 1.4586,                 2.2197,             0.00080653,             0.00080653,             0.00080653
                     68,                  1.341,                0.78017,                 1.3877,                0.68143,                 0.5465,                0.59316,                0.24821,                 2.1965,                 1.6275,                 2.2159,              0.0007971,              0.0007971,              0.0007971
                     69,                 1.3575,                0.76921,                 1.3832,                0.63338,                0.63148,                0.58876,                0.24218,                 2.2123,                 1.4767,                 2.2127,             0.00078766,             0.00078766,             0.00078766
                     70,                 1.3553,                0.77565,                 1.3724,                0.69812,                0.57775,                0.60893,                0.24471,                  2.235,                 1.5747,                 2.1932,             0.00077823,             0.00077823,             0.00077823
                     71,                 1.3126,                0.76542,                 1.3643,                0.64194,                0.64766,                0.61642,                0.24091,                 2.2621,                 1.4546,                 2.2385,              0.0007688,              0.0007688,              0.0007688
